sleep_hours,study_hours,screen_hours,intervention,mood_gain
5.3469783719231465,9.48030086667262,5.664749933774713,Sleep wind-down routine,1.048627248068127
6.420812269957845,1.2565421648673945,2.8367957990958717,10-minute mindful walk,0.17344712564289755
7.29657477019285,4.9027292733258125,9.222760832715295,Sleep wind-down routine,1.1052535327431319
8.142873602004162,5.5718321583804675,10.13564091885734,Sleep wind-down routine,0.7017683047175185
7.23620313188019,10.772873748645457,8.968532808860228,Breathing break every 2 hours,0.6333901955112028
8.794360737910177,10.153334800845741,2.0430291447188536,Evening social check-in,0.2041511904239732
5.57070074022802,4.845421709545125,12.904765776256404,10-minute mindful walk,0.27125480274162095
8.459306363688446,8.631606884017758,6.679688524663257,Pomodoro 50/10 study cycles,1.021567346745805
5.994219883944136,10.911920578078268,3.9730327598323205,Breathing break every 2 hours,0.8088603055262654
8.370597703128361,8.969381172402061,8.777539116835278,Evening social check-in,0.19679420775985357
6.53801206378955,5.387990501370905,6.7992987073302595,10-minute mindful walk,0.3088985831132526
6.540570917937052,8.81896296641004,9.671900612783771,Evening social check-in,0.6234723294734332
6.468088214470734,1.3449727835554066,4.873610475487238,Pomodoro 50/10 study cycles,0.6587586281580589
4.368660509066841,5.597836224137196,3.6029918909926812,Evening social check-in,1.2133534579375145
8.996290824430433,1.7963530287605507,4.198333093312895,Evening social check-in,0.20609620280738325
6.104256478634037,3.1557099177540726,4.750942952701626,Pomodoro 50/10 study cycles,0.2204572753640917
8.208415431469046,1.569895367301148,4.04567953327407,Sleep wind-down routine,0.3039368985493419
8.177355139902415,7.414104485921435,7.350666133751222,Breathing break every 2 hours,1.0204069212031976
8.338763620978366,7.9756384179010915,11.038281045511914,10-minute mindful walk,0.9868265984927251
6.159621461867211,4.783199553592241,7.701365776846651,Pomodoro 50/10 study cycles,0.7407271190386774
4.456787267885146,1.3703607662270454,8.585025547727154,Pomodoro 50/10 study cycles,0.5083186206946757
8.968683914030667,1.571496683265039,9.841546297584564,Pomodoro 50/10 study cycles,1.2158302000296062
5.1965037229834525,6.4246412930939565,5.899519143923202,Evening social check-in,0.8523219055033774
7.4693835967,11.506950728791395,12.334599703973847,Sleep wind-down routine,0.6848899655443565
7.7762853776320675,11.952867083911547,6.196935787995517,Sleep wind-down routine,0.7524175814523602
5.9664145927031225,6.552819705097909,11.41648257048283,Sleep wind-down routine,0.5119763105910745
5.830643786309361,2.9984746855230497,8.323212139614165,Pomodoro 50/10 study cycles,0.3194565580986647
4.461785718749635,10.737809250133772,2.281620909865881,Pomodoro 50/10 study cycles,0.15461719681264502
5.899416660811537,2.8651024249873407,6.411074683418843,Evening social check-in,0.8775188777389444
7.101371229836971,6.030882183857778,11.971134857644783,Evening social check-in,0.18897260174354158
8.802753206566445,4.929742209566181,9.808051658420682,Breathing break every 2 hours,0.8563248330808227
5.783268156140154,9.557595987555255,2.130862211101584,Sleep wind-down routine,0.8536997212396027
8.28429254141675,11.779405363119261,9.075860521417662,Pomodoro 50/10 study cycles,0.6098902530670172
6.722757423543242,7.846861465432168,7.521156112871978,Breathing break every 2 hours,0.6594821100973867
5.4593238824091905,2.45047577662044,11.192834750423978,Sleep wind-down routine,0.905572543632724
6.864133473982282,2.7885928171435683,11.753231092932738,Sleep wind-down routine,0.6985098526388959
6.743208010694861,3.9877685474532627,4.385725381064381,Breathing break every 2 hours,0.6123923278478259
8.820090863394341,6.228829911101931,8.114077196411495,Evening social check-in,1.1804603930075013
7.687242702150456,7.723315081709235,9.709273837656003,Pomodoro 50/10 study cycles,0.4726985648978701
5.024874762648338,7.83108533977145,11.730210992801531,10-minute mindful walk,0.25512220383574347
6.48265503025665,3.0720077625891578,4.082087095128367,Evening social check-in,0.844542298298382
5.774581867564107,2.05086023747904,10.113120188593667,Breathing break every 2 hours,0.6795335295000655
7.188034140606833,6.169881755850124,12.122163187051886,Pomodoro 50/10 study cycles,0.5856922260613822
5.424331841092302,5.447356213179344,3.1413110783820093,Sleep wind-down routine,1.160338980726578
4.003138555502112,3.6288995350082165,4.11815963501998,Breathing break every 2 hours,0.5748283191397857
7.944969339327736,6.060033340560844,6.145223453580396,Evening social check-in,1.0982802164619825
6.267142817890759,11.84402360014657,7.220726981958468,Sleep wind-down routine,0.5884039429656935
8.740963840327396,9.948150341821085,8.205560360886679,10-minute mindful walk,0.5019526724833008
7.686794572914858,4.257513093128102,5.646913312228968,Breathing break every 2 hours,0.5320688474261479
6.2864561063338575,4.891914390675661,3.395007417318439,Sleep wind-down routine,0.15943599163816743
5.771179150350601,1.9436781497513662,2.406240456994898,Sleep wind-down routine,0.21488874652945228
6.6512408523876925,8.344315125278417,10.78794099862851,Breathing break every 2 hours,0.6356009159396445
6.0339147412324365,8.191773952275046,8.261472827915487,Evening social check-in,0.16846865073449288
4.494467123721453,7.882195100568041,3.2739362049875935,Breathing break every 2 hours,0.7049318821835774
5.078614973523869,3.3853066082781655,2.5066713114498302,Evening social check-in,0.5076978298179635
5.884469366811388,6.465138237280897,11.446606650474207,Sleep wind-down routine,0.6476578845623848
6.404943715092828,4.955438374436152,5.148033685479405,Breathing break every 2 hours,0.5139219397483232
8.124484933361668,5.846030709613193,10.516710060286924,Evening social check-in,0.4006710511351488
4.970165548655265,11.31057622379719,8.230871269967366,Pomodoro 50/10 study cycles,1.0785152169058814
7.796738822767975,8.706993687635254,8.16604248219018,Sleep wind-down routine,1.0733536548501919
7.040875269449357,1.6450919657790868,6.725096656503455,Breathing break every 2 hours,0.9750661626102181
4.593727152730162,2.283519598691029,5.094379645318335,10-minute mindful walk,1.1516846082427612
8.210972686970045,10.98219265135969,3.8615349421602625,Breathing break every 2 hours,0.1589506767904766
6.763567171560813,2.950695709589878,5.795630430743804,Evening social check-in,0.206325038161813
7.065327595933825,2.9241670583819115,7.167565960420327,10-minute mindful walk,0.15799613590925896
7.925528739043784,1.4044134558028216,3.6228419894121546,10-minute mindful walk,1.1979211828241763
7.944242347570848,2.849790098627085,9.842991333273932,Pomodoro 50/10 study cycles,0.8500993817230036
7.551706208566575,9.830441159338546,8.200918625076568,Pomodoro 50/10 study cycles,1.129594224571914
8.537813700066296,1.6380937713279313,7.314103860099362,Breathing break every 2 hours,0.6557362839180999
4.022684068602999,1.4828829397943388,3.298264883866862,Evening social check-in,1.1590275642857384
7.416306833011747,3.1004900606913988,3.1990396857738395,Sleep wind-down routine,0.29002368267162215
8.834135738653107,8.777229351217237,3.9941186065902095,10-minute mindful walk,0.7496213279778625
4.962697071152664,7.127403254684658,8.563784902956384,Pomodoro 50/10 study cycles,0.3201883824430064
6.97912513374744,6.463382549502599,7.152444995820517,10-minute mindful walk,0.6877957748923871
5.461086171530114,10.724793062310873,8.076371562869593,Sleep wind-down routine,0.5093185749025249
5.996298652508587,8.715201540729598,12.700681905378598,Evening social check-in,1.2203743184519047
6.905083677062085,7.954085522538998,12.712851463887452,Breathing break every 2 hours,0.7488882012983306
6.047097543546526,9.919416542228488,2.107163253665665,Pomodoro 50/10 study cycles,0.5832038141729683
5.423671768714959,1.5553277925857236,8.149070632393125,Sleep wind-down routine,0.6542234224165099
4.05902969596607,2.508483446521821,11.689045760436766,Breathing break every 2 hours,0.5385670362925817
8.909212873148537,7.962912289574431,6.243138948189629,Sleep wind-down routine,1.0732693568824352
6.7291190380777754,10.636010258607977,9.064947879324155,Sleep wind-down routine,0.6653816198126508
8.130307887200766,9.489882495833138,8.33056356731867,Breathing break every 2 hours,0.8111700496136427
